BEZEICHNUNG,STR_SCHL,GEMEINDE_KENNUNG,ID,KENNUNG,mw,benannt nach,URL
Blaubeurer Straße,00936,8421000,336,STR,,,
Blaubeurer Tor,00938,8421000,514,STR,,,
Blauweg,00949,8421000,1672,STR,,,
Bleicher-Walk-Straße,00962,8421000,338,STR,?,,
Bleichstraße,00975,8421000,165,STR,?,,
Blücherstraße,00988,8421000,374,STR,?,,
Blumenscheinweg,01001,8421000,344,STR,,,
Blumenstraße,01014,8421000,548,STR,,,
Bockgasse,01027,8421000,61,STR,,,
Bockweg,01040,8421000,858,STR,,,
Bodenstraße,01053,8421000,146,STR,,,
Böblingerstraße,01066,8421000,159,STR,,,
Böfingen,01079,8421000,1673,STR,,,
Böfinger Halde,01092,8421000,261,STR,,,
Böfinger Steige,01105,8421000,240,STR,,,
Böfinger Straße,01118,8421000,238,STR,,,
Böfinger Weg,01119,8421000,485,STR,,,
Böhmeweg,01131,8421000,564,STR,,,
Bollinger Straße,01138,8421000,1574,STR,,,
Boschstraße,01144,8421000,465,STR,,,
Brandäckerweg,01147,8421000,967,STR,,,
Brandenburgweg,01157,8421000,493,STR,,,
Braunlandweg,01170,8421000,259,STR,,,
Brautgasse,01183,8421000,20,STR,,,
Bregenzer Straße,01190,8421000,970,STR,,,
Breite,01194,8421000,1516,STR,,,
Breite Gasse,01196,8421000,65,STR,,,
Breitenweg,01199,8421000,1746,STR,,,
Brenzstraße,01209,8421000,205,STR,,,
Brettacherweg,01212,8421000,1081,STR,,,
Bricciusweg,01218,8421000,1304,STR,?,,
Brombeerweg,01222,8421000,725,STR,,,
Bruckackerstraße,01227,8421000,1309,STR,,,
Brucknerweg,01235,8421000,201,STR,,,
Brühläcker,01236,8421000,1656,STR,,,
Brühlsteige,01237,8421000,1083,STR,,,
Brühlstraße,01238,8421000,1368,STR,,,
Brunnengasse,01248,8421000,703,STR,,,
Brunnensteige,01250,8421000,1550,STR,,,
Brunnenstraße,01251,8421000,1623,STR,,,
Buchbrunnenweg,01253,8421000,286,STR,,,
Buchauer Straße,01255,8421000,952,STR,,,
Buchenlandweg,01256,8421000,520,STR,,,
Buchenweg,01258,8421000,1640,STR,,,
Buchhau,01260,8421000,1270,STR,,,
Buchmillergasse,01261,8421000,349,STR,,,
Buckenhof,01266,8421000,1404,STR,,,
Büchsengasse,01274,8421000,74,STR,,,
Burgauer Weg,01287,8421000,866,STR,,,
Burgsteige,01300,8421000,174,STR,,,
Burgunderweg,01313,8421000,332,STR,,,
Bussenblick,01320,8421000,1243,STR,,,
Buttenweg,01326,8421000,585,STR,,,
Butzental,01332,8421000,794,STR,,,
Butzentalweg,01334,8421000,844,STR,,,
